order_amount,total_items,price_per_unit,shop_id,user_id,0
704000,2000,352.0,42,607,17
77175,3,25725.0,78,766,1
51450,2,25725.0,78,855,1
51450,2,25725.0,78,869,1
51450,2,25725.0,78,927,1
51450,2,25725.0,78,935,1
51450,2,25725.0,78,936,1
51450,2,25725.0,78,946,1
51450,2,25725.0,78,960,1
51450,2,25725.0,78,967,1
51450,2,25725.0,78,983,1
77175,3,25725.0,78,775,1
51450,2,25725.0,78,814,1
77175,3,25725.0,78,787,1
77175,3,25725.0,78,817,1
77175,3,25725.0,78,818,1
77175,3,25725.0,78,915,1
77175,3,25725.0,78,928,1
77175,3,25725.0,78,962,1
77175,3,25725.0,78,969,1
102900,4,25725.0,78,834,1
154350,6,25725.0,78,878,1
51450,2,25725.0,78,828,1
25725,1,25725.0,78,740,1
25725,1,25725.0,78,745,1
25725,1,25725.0,78,890,1
25725,1,25725.0,78,800,1
25725,1,25725.0,78,812,1
25725,1,25725.0,78,823,1
25725,1,25725.0,78,852,1
25725,1,25725.0,78,855,1
25725,1,25725.0,78,861,1
25725,1,25725.0,78,866,1
25725,1,25725.0,78,867,1
25725,1,25725.0,78,889,1
25725,1,25725.0,78,910,1
51450,2,25725.0,78,760,1
25725,1,25725.0,78,912,1
25725,1,25725.0,78,944,1
25725,1,25725.0,78,970,1
25725,1,25725.0,78,982,1
25725,1,25725.0,78,990,1
25725,1,25725.0,78,997,1
51450,2,25725.0,78,707,1
51450,2,25725.0,78,709,1
51450,2,25725.0,78,756,1
51450,2,25725.0,78,810,1
